Date,Close/Last,Volume,Open,High,Low
09/25/2019,$10.77,9921904,$10.95,$11.1,$10.63
09/24/2019,$10.93,30090750,$11.65,$12.41,$10.52
09/23/2019,$11.54,10060080,$11.6,$11.97,$11.1364
09/20/2019,$11.61,17647330,$11,$11.67,$10.96
09/19/2019,$12.2,9514947,$11.84,$12.415,$11.57
09/18/2019,$11.75,9465693,$11.18,$12.1499,$11.01
09/17/2019,$11.16,6595826,$10.95,$11.21,$10.605
09/16/2019,$11.01,5830156,$11.27,$11.39,$10.67
09/13/2019,$11.18,18977200,$11.01,$11.21,$10.31
09/12/2019,$10.1,6850325,$10.84,$10.879,$10.1
09/11/2019,$10.68,6631409,$10.9,$11.1983,$10.57
09/10/2019,$10.9,9931249,$11.23,$11.49,$10.57
09/09/2019,$11.19,12042510,$9.98,$11.285,$9.98
09/06/2019,$10.19,6305490,$10.51,$10.58,$9.98
09/05/2019,$10.56,5397594,$10.7,$10.93,$10.54
09/04/2019,$10.69,4176799,$10.7,$10.74,$10.39
09/03/2019,$10.57,6421722,$10.37,$10.825,$10.26
08/30/2019,$10.45,5226400,$10.54,$10.73,$10.39
08/29/2019,$10.43,9036260,$10.92,$11.055,$10.38
08/28/2019,$10.82,4387266,$11.23,$11.31,$10.81
08/27/2019,$11.22,4596698,$11.75,$11.91,$11.2
08/26/2019,$11.8,5314442,$11.2,$11.93,$11.1
08/23/2019,$11.04,7666429,$11.51,$11.73,$10.96
08/22/2019,$11.68,7342542,$12.3,$12.59,$11.65
08/21/2019,$12.25,12416540,$11.74,$12.85,$11.41
08/20/2019,$11.66,20856720,$10.79,$11.94,$9.42
08/19/2019,$10.67,47553330,$10.45,$11.56,$10.05
08/16/2019,$14.28,5123504,$14.41,$15.07,$14.27
08/15/2019,$14.39,12635110,$16.13,$16.19,$14
08/14/2019,$15.93,5340325,$16.89,$17,$15.75
08/13/2019,$16.95,6669749,$16.63,$17.48,$16.46
08/12/2019,$16.75,11634100,$18,$18.05,$16.73
08/09/2019,$18.12,5856100,$18.6,$18.77,$17.95
08/08/2019,$18.51,9807561,$18.12,$19.18,$17.3
08/07/2019,$18.16,4913815,$18.12,$18.25,$17.79
08/06/2019,$18.23,3839020,$18.14,$18.41,$17.95
